ring;chip_code;capture_year;status;cert;run_day_eclosion;brood_size;weight;tarsus;observer;cohort
411781;C_7A7250B;2018;R;1;24;4;70;29.73;RM;2016
411863;C_7A6F515;2018;R;1;23;4;83.3;30.9;RM;2016
411874;C_7A70C99;2018;R;1;23;3;92.2;30.3;RM;2016
411894;C_7A73476;2018;R;1;24;4;84.9;31.7;RM;2016
411901;C_7AF6CCE;2018;R;1;24;5;82.9;31.3;RM;2016
411954;C_7A72924;2018;F;1;25;3;63.1;29;RM;2016
411961;C_7A71D1F;2018;F;0;25;5;76;30.3;RM;2016
423606;C_7A73736;2018;R;1;36;5;74.4;29.2;RM;2016
423607;C_7A73D27;2018;R;0;36;5;77;28.9;RM;2016
423632;C_7A70E02;2018;R;1;49;4;80;30.6;RM;2016
423664;C_7A710E0;2018;R;1;67;2;72.85;29.6;RM;2016
423671;C_7BA2692;2018;F;1;67;3;79.5;28.8;RM;2016
423810;C_7A73BCF;2018;R;1;69;3;63;29.6;RM;2016
423849;C_7A6FBB9;2018;R;1;67;2;71.5;29.9;HB;2016
423900;C_7A6F483;2018;F;1;68;4;70.9;29.4;HB;2016
423905;C_7A710DD;2018;R;1;69;4;79;30.7;HB;2016
423991;C_7A72F98;2018;F;0;73;3;75.3;31.5;HB;2016
424300;C_7A6F1C7;2018;F;1;22;5;90;30.1;DG;2016
424302;C_7A6F0BF;2018;R;1;22;4;85;30.3;DG;2016
424305;C_7A724EA;2018;R;1;22;4;82;30.9;DG;2016
424313;C_7A6EDCB;2018;F;0;22;5;78;30.9;DG;2016
424331;C_7A73D26;2018;R;1;22;4;93;31.1;DG;2016
424339;C_7A74187;2018;R;1;22;5;89;30.5;DG;2016
424346;C_7A6EBFD;2018;R;1;22;4;82;30.2;LM;2016
424358;C_7A73FB2;2018;F;1;22;5;84.7;30.9;LM;2016
424381;C_7A7059A;2018;R;1;23;3;84.8;31.6;LM;2016
424413;C_7A7003F;2018;R;1;23;4;90.4;29.3;LM;2016
424450;C_7A74357;2018;R;1;23;3;95;30.6;DG;2016
424451;C_7A71026;2018;R;1;23;3;83;29.7;DG;2016
424472;C_7A71820;2018;R;1;23;4;90;31.1;DG;2016
424474;C_7A746D5;2018;R;1;23;4;90;29.7;DG;2016
424477;C_7A72598;2018;F;0;23;4;84;29.9;DG;2016
424540;C_7A6F3EA;2018;F;1;24;2;82.8;28.7;LM;2016
424566;C_7AF6F1B;2018;F;1;24;3;83.1;28.8;LM;2016
424572;C_7A73DB1;2018;R;1;24;3;69;26;LM;2016
424590;C_7A7088C;2018;F;0;25;4;70;29.7;LM;2016
