ring;chip_code;sex;capture_year;status;status_cat;cert;run_day_eclosion;brood_size;weight_n;tarsus_n;observer_n;weight_a;wing_a;tarsus_a;beak;feather_length;observer_a;observer_a2;time_capture;date_january;cohort
411729;C_7A73E6D;1;2018;R;1;1;23;4;89.73;29.76;RM;88.6;135;29.8;23.5;32.09333333;SD;SD;8;66;2016
411730;C_7A7498F;1;2018;F;0;1;23;4;93;30.6;RM;86;136.5;32.29;24.14;37.16;JM;JM;11;71;2016
411760;C_7A703AD;1;2018;R;1;1;24;3;97.5;31.6;RM;92;135;30.2;20.8;37.82;RM;RM;11;98;2016
411773;C_7A74F70;1;2018;F;0;0;24;3;82.2;28.2;RM;83.3;134;28.4;21.1;31.79;DG;DG;11;71;2016
411778;C_7A7286D;1;2018;R;1;1;24;3;74;29.6;RM;89;137;30.6;23.1;35.48333333;DG;DG;8;70;2016
411781;C_7A7250B;1;2018;R;1;1;24;4;70;29.73;RM;88.7;133;31.1;22.7;33.69;DG;DG;10;77;2016
411894;C_7A73476;1;2018;R;1;1;24;4;84.9;31.7;RM;90.4;137;31.6;22.9;41.01;SD;SD;12;67;2016
411901;C_7AF6CCE;1;2018;R;1;1;24;5;82.9;31.3;RM;90;138;30.8;23.8;37.38666667;DG;DG;12;71;2016
411954;C_7A72924;1;2018;F;0;1;25;3;63.1;29;RM;78.7;132.5;28.75;24.12;34.12666667;JM;JM;8;65;2016
411961;C_7A71D1F;1;2018;F;0;0;25;5;76;30.3;RM;84.2;133;30.07;22.6;32.44;DG;DG;8;126;2016
423606;C_7A73736;1;2018;R;1;1;36;5;74.4;29.2;RM;85.9;138;29.66;23.88;38.68333333;JM;JM;8;87;2016
423607;C_7A73D27;1;2018;F;0;0;36;5;77;28.9;RM;82;136.5;29.39;23.59;34.01;JM;JM;8;87;2016
423632;C_7A70E02;1;2018;R;1;1;49;4;80;30.6;RM;88.4;136;30.36;23.42;36.46333333;LP;LP;13;81;2016
423671;C_7BA2692;1;2018;F;0;1;67;3;79.5;28.8;RM;84.3;136;28.29;21.28;35.50666667;SD;SD;10;109;2016
423810;C_7A73BCF;1;2018;R;1;1;69;3;63;29.6;RM;83.4;133;29.1;23.9;33.63666667;DG;DG;11;76;2016
423849;C_7A6FBB9;1;2018;R;1;1;67;2;71.5;29.9;HB;84.3;136;30.56;22.46;40.10666667;JM;JM;10;87;2016
423900;C_7A6F483;1;2018;F;0;1;68;4;70.9;29.4;HB;82.1;134.5;30.07;24.8;37.02333333;JM;JM;10;65;2016
423905;C_7A710DD;1;2018;R;1;1;69;4;79;30.7;HB;91.2;138;30.3;24.2;34.26333333;SD;SD;10;81;2016
423991;C_7A72F98;1;2018;F;0;0;73;3;75.3;31.5;HB;84.6;136;32.12;23.41;33.69666667;SD;SD;9;106;2016
424300;C_7A6F1C7;1;2018;F;0;1;22;5;90;30.1;DG;88.5;139;32.2;23.4;32.78333333;SD;SD;9;76;2016
424302;C_7A6F0BF;1;2018;R;1;1;22;4;85;30.3;DG;92.1;137;30.63;24.56;36.88666667;JM;JM;9;77;2016
424305;C_7A724EA;1;2018;R;1;1;22;4;82;30.9;DG;86.9;135;29.4;23.4;35.36333333;DG;DG;12;65;2016
424313;C_7A6EDCB;1;2018;F;0;0;22;5;78;30.9;DG;86.2;135;31.79;23.93;34.39;LP;LP;11;84;2016
424331;C_7A73D26;1;2018;R;1;1;22;4;93;31.1;DG;99.1;134;31.3;24.9;32.58333333;DG;DG;10;76;2016
424339;C_7A74187;1;2018;R;1;1;22;5;89;30.5;DG;87.2;135;30.6;22.8;35.36;DG;DG;10;111;2016
